headline,desc,writer,where,date,readTime,claps,responses
The Four Disagreements at The Heart of America Right Now,And maybe the entire world.,Jessica Wildfire,An Injustice!,Dec 1,,6.2K,103 responses
Humans Are About to Destroy Everything That’s Been Achieved in the Last 4000 Years.,,Alex Ates Haywood,Politically Speaking,Dec 1,,1.3K,20 responses
A Defense of Contemporary Literature in Schools (Even YA),Your “great books” fetish is elitist…,Tim Wise,,Dec 1,,614,14 responses
This Real Estate Bubble Is Just Getting Started,House prices will continue to soar for the rest of our…,Jared A. Brock,Surviving Tomorrow,Dec 1,,778,15 responses
Not Even Stan Lee Expected Things to Get This F*cked Up,,Marlon Weems,LEVEL,Nov 30,,1K,12 responses
Will The GOP Become The ‘Know-Nothing’ Party In 2024?,,Mike Weisser,,Dec 1,,562,26 responses
Wealth under socialism,One thing I have noticed is that some people who study Marxism struggle to understand wealth under socialism. I have…,Vince,,Nov 30,,717,24 responses
Please Don’t Help Your Brother Cover Up His Sex Crimes,"In which I am forced, once again, to set…",Jude Ellison S. Doyle,GEN,Dec 1,,1.3K,15 responses
Political parties to isolate arrogant cult leader Gawuzela and SWALIMO,,THE HIDDEN SIDE - ESWATINI,,Dec 1,,,
Lord of the Lies,More progress from the Department of Justice on the insurrection front. It’s looking into fundraisers. A grand jury has been…,Spike Dolomite,,Dec 1,,528,5 responses
How Over-Emotional People are Destroying Political Rhetoric.,When you can’t quote scientists because…,Tessa Schlesinger,"World Issues — Politics, Economics, and More",Dec 1,,921,17 responses
"Covid Skeptics Are Using Bad Math to Spread Fear, Uncertainty, and Doubt",,James Surowiecki,,Nov 30,,280,4 responses
Donald Trump’s 2024 Campaign Will Be Insane. It Also Might Win.,,Eric Medlin,,Dec 1,,261,7 responses
American Apocalypse,Foibles and failure bring America to her knees,Alexander Ziperovich,An Injustice!,Dec 1,,484,10 responses
A woman can rape a man.,,Dedrick Conway,,Dec 1,,40,3 responses
How to rebuild Northern England,"When most people think of England, they think of Harry Potter…",Cailian Savage,,Nov 30,,196,6 responses
Inauthentic network promoted far-right Georgian political party on Facebook,Alt-Info had previously…,@DFRLab,DFRLab,Dec 1,,9,1 response
What It Takes to Win in Season Two of “The Great”,The Great”,Christine Muller,FanFare,Dec 1,,50,
Why Climate Resistance Needs To Get Violent,Fossil fuel infrastructure isn’t going to destroy itself,indi.ca,,Dec 1,,440,6 responses
The GOP’s estimation of Democratic lawmakers is a lot higher than mine.,"Or at least, that’s what their…",Lauren Elizabeth,,Nov 30,,439,6 responses
When Were Conservatives on the Right Side of History?,"If you can tell me, I will listen.",Gadwall Jackson,ILLUMINATION,Dec 1,,367,19 responses
Barbados Has Rejected The Monarchy In Order To Embrace China,,Adebayo Adeniran,,Dec 1,,271,1 response
Liberals Can Solve the Incel Problem — Here’s How,2021 was another banner year for social justice…,Jack Luna,Politically Speaking,Dec 1,,136,4 responses
"Water Bills, Potholes, and Unpaved Roads",Campaigning on the issues in small town North Carolina,Down Home NC,Reclaiming Rural,Dec 1,,5,
The QAnon Infighting,"Where Michael Flynn goes, QAnon goes. This is why it was so surprising for many people when Flynn, during a call with…",Ephrom Josine,,Dec 1,,50,
Ritten Off Day 11. Another day. Another bunch of dead children.,Take your kids out of public schools…,Sexy Hermit,,Dec 1,,83,2 responses
Worst things about America,From shootings to Black Friday rampages,Alexei Sorokin,,Dec 1,,46,5 responses
Omicron Reveals Multiple Pandemic Infectious Disease Truths,Moving forward regardless of vaccination…,Ryan P. Gilley,Microbial Instincts,Dec 1,,129,
Are Religious Women Brainwashed?,Disagreeing with a woman’s religion does not mean you have the right to be misogynistic,Ilana Quinn,,Nov 30,,953,13 responses
No No No No No No No,The Republican congressional agenda,MartinEdic,,Dec 1,,251,5 responses
Greg Abbott Just Paid Samsung $680 Million To Turn a Red Congressional District Blue,,Charles Bastille,Politically Speaking,Dec 1,,160,3 responses
"Flesh Molded by Life, Life Molded by Flesh","One is one’s life embodied. One lives, and the content of one’s life is molded into…",Nodrada,,Dec 1,,45,
Why Demographics Drove Down the Cost of Capital Which Accelerated the Pace of Innovation,,Nuno Fabiao,DataDrivenInvestor,Dec 1,,62,
Five Things To Know About China’s Electricity Shortage,#3: The real impact on the Chinese economy may…,Sylvain Saurel,,Dec 1,,5,
Blockchain’s true power is yet to surface,The future impact that truly scares China and other…,Brenn,,Nov 30,,70,1 response
